Title,Subject,grade,section,lessons,Field 5,File,ID
Complete division tables,MATH,3,Operations,Complete division tables,https://drive.google.com/file/d/1UKu1TrT6SKXqrHAglJihOHuGP42HCN39/view?usp=share_link,Complete division tables.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/34-UUo357tYBzlki43-olQ/GD0-FV8E2gysMnfAEtK8WK-ty24gA902BuZ82IthLVe2fu02iNOM6S7fbRWK-xRL7v02YVsLcwzbw8hO3nLocC9WaA7ug5Us9eqUXzzK9cXOyhArTJKD44TMHcv44X2V/XPz5rE_B7ceDfPdSG-jZFUtpTX3f-k_xL1bd2A0pm6k),393
Skip count by 2,MATH,1,Addition and Subtraction Strategies,Skip count by 2,https://drive.google.com/file/d/1umy6NyyNDiD9YrV8IIpFTy53cXfOLvV-/view?usp=share_link,Skip count by 2.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/zDVdYtJbbCUGsjrEiUcXqA/u5TrWpmhwnFJIuPWdiG7sGi66TAX4kSEgSkBszu_MmjahCUPDH_1kl1j_X-Nsz3TIhe3bOk_2wLYl6gEyxvLQXw7x6dR35Pd_Ik4jsYou8c/raL3kWS_edr57UaIiESf2Bk3xSOZCoKStChj-PBu4AI),394
Compare two-digit numbers,MATH,1,Numbers,Compare two-digit numbers,https://drive.google.com/file/d/1upPGEkguRhFnAhDPcJbNx6AZWmGLXHUl/view?usp=share_link,Compare two-digit numbers.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/kkKi3p6aKMU_eiZHPZPgQA/o1SSDf38uVFPQ_w8zhS1f6uplDSFfqulaiFyO1D6w_-vIwIpvlGCL1J6-VSEWiBbsX67tuNYwRJSJ4r0HE0VGHCXFCVtZ6LzT_JyhpOup1bcfFQOS_qDaSmwHVtCjJo1/vcytO3V6qZvC-NXeySDuvjzPPeeSoDl94HQ5jwtDZJI),395
Differentiate Between Similes and Metaphors,Language,5,Figurative and Descriptive Language,Differentiate Between Similes and Metaphors,https://drive.google.com/file/d/1URERqe9eNLi3clziBuEY1fyHK6BKFpN0/view?usp=share_link,Differentiate Between Similes and Metaphors.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/pqD1GioDSnuQHoFuz1crMg/z4dDWj1imAVcUTx7LyQCtoPAYGGQu1hgFjuSOta20FYgQXNk8k67fkMy0fUrMwwbUksUyW5DsW4osgYZazwOZJ8MzdZHs4eSFVn7jFkSVs42-WvpBHfl8BbyDuaxGHrdnINxS_mfUIpH9hMrUt-iyw/GmY1rZFytAlilG_KUZI-ocDBsDCkYbd2GHJITBmRkmg),396
Identifying the Present Tense,Language,1,Parts of Speech,Identify the Present Tense,https://drive.google.com/file/d/1UtOg8jo76-5yc0bnhHZ8xgrKNBBh_vuk/view?usp=sharing,Identify the Present Tense.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/tErX2dnm17Z7VBDWaMpQFA/8j6i70-w5m5n3STBKPEmuTNizZcsZ1Ns2rcAtT3PXCCVgobfaNYwLDxESu_9K6bbehQba7LReF6GEqGcq9N9kMGSrRuUs2nV8kT1bKHFAwniMafFA0AP0ZGZmSPc9wnb/Cay-L5dEVFq_-xOh-nTt7tw0IcsyWBZiTLP61OlwQho),397
Identifying Verbs in the Present Tense,Language,3,Grammar,Identify Verbs in the Present Tense,https://drive.google.com/file/d/1UtOg8jo76-5yc0bnhHZ8xgrKNBBh_vuk/view?usp=sharing,Identifying Verbs in the Present Tense.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/CRwhdN7VuxOuEYurw_XDPw/OtJIj9EunFfGYeuJ14fPT0tmb8yjSB7JyGg0C776BrNTjVOFRtgvmPK66meTF3gGYwpuxae_W6FcuIL2-Fn6dfDsPv5WxShtGlbphbIyEpKM5trNltcK9q7pNEnwfBA_/jbIPUc4WBTGz9Pzl-hznwgfwobUFt9OECBWI0tn9g30),398
Identifying Adverbs,Language,2,Parts of Speech,Identify Adverbs,https://drive.google.com/file/d/1UXlQhd93LUgxhwsKGk_W7PD6-rTHUrWk/view?usp=sharing,Identify Adverbs.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/HcNEb1C3h3-pG_-BGjchAg/6tBDSEdzZcWlq8epcqdec0ayH3cccAXbikoqNIt0iLHcGchwYdKdCv6x8uolY3OUadMydIV7SHqHaTI0WvBiJjNkvJlJD867pP7cRgYpltM/s27VanBVV-LhBIH-yO4T4iFh4xZwM1gODYqXBB3aDD8),399
Counting squares,MATH,0,Geometry,Count squares,https://drive.google.com/file/d/1uz4o4tBQxI4GteXMeRIQrGEm927TW8jn/view?usp=share_link,Count squares.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/BTmVJnA0e4ORxW6AUxbugw/C9tZCT6MJRldoT-AVjhO9Q0NwigeXeTMLEuV7bxdTjZBtdsioCEMoblo75VC91RCjTuhZVWpuqtOLIMBI58PJ8gpZFju5pRU6P00Ssbfbh0/iCA0yO6AEn33bOQWkVDRn5SQmSoD-4k3Gsrp_r_-q3U),400
Let's Learn Adjacent angles,MATH,6,Geometry,Adjacent angles,https://drive.google.com/file/d/1V4EoHSNE4MI6JbB_iSDYw9As1fAHzDEe/view?usp=sharing,Let's Learn Adjacent angles.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/cgMRgo9t5E1LTa-Io6xqYw/TnkKmU80azHb74je83tQ19NoPtxHAPeYH5bjnKrBBSiwwPMEltLmQQsGjB1YLfxQBI0ZSm4D_zulzay2JCDlE4BqWuzTkgOQ247eH6nmXG_tTkQA_u83lxJWVIV2-Jis/0JFAa5TFvZm7cL77t_tPnaOzhVPZ1bH-Me4viPpZrVM),401
Using the Correct Correlative Conjunctions,Language,5,Parts of Speech,Use the Correct Correlative Conjunctions,https://drive.google.com/file/d/1V516OKVAZthWdBMd_8YGIGp5VmTIxgVa/view?usp=share_link,Use the Correct Correlative Conjunctions.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/sK9c6nB0buF88CJJodqCgw/3X3QtLHy_V_da-dGd47kV19geugi-5sk-jR1_pSMuEXHymoCzmeEvFRoRF48U5bMbJJxG_D9Ky9S_ZH49NdcJTOhg-oGl9FqfisJ6lSn4jDlWclrISVKWEPKeAtbXD59/5_Wjck_gN8H7Kx-ekAm2oNskz9HBXgJsek2LmoMNwBg),402
Using Coordinating Conjunctions to Form Simple Sentences,Language,5,Parts of Speech,Use Coordinating Conjunctions to Form Simple Sentences,https://drive.google.com/file/d/1VCiXozMu9ZyrDiIAPI1ZlClj8jP2_KYC/view?usp=share_link,Use Coordinating Conjunctions to Form Simple Sentences.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/ra4QB0ul3dNkJ92jMolJ0Q/kgeijUp3CZ5Qv3Y1hwjnD0T5tmYxgxUaL9IJEd32BR1WGBaeDCMPBs0dxzEkyEtr8lFepDdJqa4A7nmHPC2cjCZO_REMdf7yJ0zH3r632pk5XPkRaNfeLRUaFea167i4vS99xSdr25-5Hj5xW4xIyA/OcDh_NvIx1InK_QbqNyfduCx5i9HapuAbMYwM1Xa_Cc),403
Identify Uppercase Letters (VWXYZ),Language,K,The Letters and Their Sounds,Identify Uppercase Letters (VWXYZ),https://drive.google.com/file/d/1VDlQSlK8NCnZJ-HTE_gl-R3nKVq0r_mp/view?usp=share_link,Identify Uppercase Letters (VWXYZ).pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/P_aHV12auJMTCrGZYhTyxQ/mxhqaFqMqqQtksHMOqCBNfco8eCimb-jGM5RR35sx-T1O5JqbmRrAVddQ_gmSn4EJN8c_45ho8ReBVkD3edhc556s0asILvNw4ppDfLP4MNHQzGZdIdHZ-X3AswJZBKV/mJmv1qvBPf_UlS8KQW1HkfSovfrFgwjRqV0Yj4VZSMc),404
Using Singular Nouns,Language,K,Parts of Speech,Use Singular Nouns,https://drive.google.com/file/d/1VE5V9OPDtZUbxt5H_uzdGMDGL80KR86L/view?usp=sharing,Use Singular Nouns.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/1LvUks6GnDeEIJlE5zieEw/Na6U09hxL0GflDokX_JbT6AUvmU4pBhl-oq1i5Qj7kF9w2R_1XOZRrYXUztUNhvSTtXxrUmCXaka9kxXItViyrGjIMbcpBxlJUnDIgnYIuM/111mI76ysmaZKWIFdHfCI_mqcxpxiEyakxsCrEquZ6o),405
Introduction to solving algebraic equations,MATH,6,Equations,Introduction to solving algebraic equations,https://drive.google.com/file/d/1Vg_qWojzRy9TlybUSbRfYjN8c-1reGa3/view?usp=share_link,Introduction to solving algebraic equations.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/C4SPQ5qte71FqNI2prHDjg/YPKreY10_Ubn_qJtb2tIxAy4aRg-TUNO3Qvay685nnVihbo3zPqT1laN9bJXEIIiOsNBHvS5hkZzxNK_2WH7083pR9N_abkOfuSN90NnV3ThKRzXlhClGJHD518GTywCiuF41hR0de6PZUEoFmXDEg/9WuVSv5w3zc3wWIUqnLGH8gufLQd7JW16LZjvQsxFUM),406
Identify the Present Perfect Tense,Language,5,Verb Tense,Identify the Present Perfect Tense,https://drive.google.com/file/d/1vhUFwZmNYnpz4u8kkYaFqoHG-z9qvz15/view?usp=sharing,Identify the Present Perfect Tense.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/LKbgPU5TU09FZdF_RK1gXw/pnmfMJi5LjJJB9nDMsxdNI-3fLYK7JbIcAX9VC75Cqf3TjUgrn3NpPsZ4cqZAkS1NulYdm9RlpZSdj94Zvs7Jha6idluqXcHkQDc0YknW2LgEuPl2xDxjncgSFkAUwbU/sJxT9_BfBALu7_AWYo2OJMl92eBM2kXK2CgOs1BAZTk),407
Add fractions with same denominators,MATH,4,Fractions,Add fractions with same denominators,https://drive.google.com/file/d/1VI1axfUQevdjnhPN0mviAupPSjWLvhHW/view?usp=sharing,Add fractions with same denominators.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/HsoVIhnHrHqpgLcdZDbDMg/BWxqOvdKxQ6ejT3AREY0azKb3ov120YsZ3ZCYQoFe35aowc8eHkAcLMDRQ_38cIU9YVgyw9QCUhPWawUOhGOjEZgP0RjYRWTJDGGq0-oUMj_czMm4N1n08jsDfzg--by/kbKuZtIDCkPsjuD8aiY7AVyg7IkK_eYX3vwGzmsGONM),408
Identify Nouns that Name Places,Language,K,Parts of Speech,Identify Nouns that Name Places,https://drive.google.com/file/d/1vjQ08QbZa1KQt-I_mzRTFfsh6lPmiNlY/view?usp=sharing,Identify Nouns that Name Places.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/LzDBhdn8_2VefNOpShVOTA/vQIyly3supxEWy0xvUAAYWtZaRMdPF0H9qLlicmaR48bAuEoB09XdHcmmFFk4LGp_xxerYmnPIORyDBsFBg30Pi74VwaJbZBCVmwnVDiuofCrHu_chKDr61z5_D7iR4M/qPQ3N9JS6hZ0z0krX5AZDTvJexfhpf0AYmXxo6XsLVs),409
Let's Multiply by 4,MATH,4,Multiplication Facts,Multiply by 4,https://drive.google.com/file/d/1VKcuFv6zpRKkVdi8cArmGd5hbWr3exuL/view?usp=share_link,Let's Multiply by 4.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/mh0algdUB_NR11Y91TEBFQ/5sChGILuCeoYk9j3WorxqmXfnt_PbBPOb78TokNXx_epPYaVmbdD1AKEo4fEYPPjQOFWCIyGqmB7vQQmpy0JLYajYokqrGvdBfjDpfLvLb4/MPZxCG1huBDCm_R-wRXjr-M-nYSuaeDiBlBADfVlrZM),410
Understanding place value,MATH,1,Numbers,Understand place value,https://drive.google.com/file/d/1VKV7YMQuEJnWzhXEMvIO5fkZc4dgJBan/view?usp=share_link,Understand place value.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/6cW7nMY8AFISXSjxWo7thA/ZOMxr5X16VABn9pwdCon806vtxgfoJFW53pJZztWnbYbxSrdNMO6PEyuQaz2Ux54tfq0plsM2FOLtsAMMCHqLCXU8SdPyvcPXCvcuHUzjCk/TfqBZI5g1PKKzKx6n7kdtlqIOoGQ6mBdQUB5uoGh7IU),411
Understanding place value,MATH,1,Addition and Subtraction Strategies,Understand place value,https://drive.google.com/file/d/1VKV7YMQuEJnWzhXEMvIO5fkZc4dgJBan/view?usp=share_link,Understand place value.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/iRvIZtwU4P0QI614ip3bew/MWzU1TsDAQj7StdF4-TWJpqU0TIJOsCPAMYtJkdpufy3-KO519orUs4d991iNo0lsSL7gM-6YYTQWvIgPHlmJRfFgkrw3CJ_ER3kN7wcbp8/hGHDkBc9tz2BEivfAWBVohQ3tAZF-sgIp3DoGbT6zPA),412
Let's Count objects,MATH,0,Counting 0 to 20,Count objects,https://drive.google.com/file/d/1Vl3RyFhAWXFKtxRcl6EkFE0rXsWi4xRy/view?usp=share_link,Let's Count objects.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/MKok9w0019kZK9p4GEiz7g/U5p-hygDIwJABpIzT7689LZKU-rlIdPvD89vgMk0BmRheLlqrCcyje7fqelj-P1sJheaG7buDKrQHMAn6LXtVoDP3Gj2VsW1CZgwT0oayUs/ZzWBiIQ7y_BbvyMMqXBNP9JC6slGyrcAVdM_CJ9Lqzk),413
Interpret the Meaning of a Metaphor,Language,5,Figurative and Descriptive Language,Interpret the Meaning of a Metaphor,https://drive.google.com/file/d/1vteiZgZgRslHTlFeV3yws9do_0qIuLoX/view?usp=share_link,Interpret the Meaning of a Metaphor.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/NGzF6z3cApa-T8e-BPkdVg/b4tmst7aB2btJp1cjshvT4ihLrEf0bK4_pwX-qWqcdpX59tRPbbSnBcf519XWsMwGyx45hrsqj4_k9E8njGm82aOMUrlIC1T-0LvjP_utcJOANUmtBwLVwKnS5odW767/LSA6fB6LfT7megEiOkiVGyaBEbBSZ8-DZxiPQF8LIH0),414
Identify Prepositions,Language,5,Parts of Speech,Identify Prepositions,https://drive.google.com/file/d/1vVNE9RN8qcUh5GScSom5HJme0S5ymU8_/view?usp=sharing,Identify Prepositions.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/VrQp1qSwHjJj60w3wpSIWA/LLzvqhEHGyJq1kkY8_O6gEuNb5KWD-1HI5hwg9N6YoREjAy7SuDvPxL5noVhO_fLgIjg6bmPIxSZIyIFz7c3EpGKliRqvDzCWPotjS92NOM/KbOGTPxRDdd4gn_e_PAsMR6NEXGI6O4dPUZB0Z5fcKY),415
Understand more and less,MATH,0,Counting Operations,Understand more and less,https://drive.google.com/file/d/1VWR6ajUclurrpkLm5bOj8GCp7nUSM44o/view?usp=share_link,Understand more and less.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/N2BofmhoZLZN38g9jY5qJA/_EvlxOBtVHbJqNorfCiq6L30V6nPGz3RfOws1RsS7lpRXVqyQYPTPhIHUWWpel8zgq_I87LLyTH1GdMQQv4l7wGkB8qefdbBYO-QkYoIYVZbkhY-ObGU_u-QQDoDvMoE/kbMPVcnCA0C7gmMdClrBWmYNv7GiRSHrKKoKV6H3TLg),416
Calculate rational square roots,MATH,8,Numbers,Calculate rational square roots,https://drive.google.com/file/d/1Vx3LuofsYtc8vGW0RDbPZDsdLVVe02u9/view?usp=share_link,Calculate rational square roots.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/hO56SJErjEuJj8nyAKH43w/H7iqkvetCwweJUHVOiFS6RSgzJJlwwmy0ltXrt62p4kfcTgvJmxI7MglKrnK8nkYI0z8z75HIE1DSs1tARfWwczXkl7U_VrOAB1fdPQH_VhDwg6kjS3vbTCoKhBS9u7y/zYZPKgCXjBNy2PsyWpfZzlljyI88UWkPMyfX79s4ehU),417
Use Personal Pronouns,Language,1,Parts of Speech,Use Personal Pronouns,https://drive.google.com/file/d/1w5N2S2VO9W57_a6VCWZvNH4VTlZDdaQF/view?usp=sharing,Use Personal Pronouns.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/lvY2mpYQg6MUmNubP5rczQ/tTXi7WU22wxNoSPBOentwuS6JUWUSAsHN5Vg5MqtQsVjNbmdUvsI02JTzBgEhW3moPIsfeQx8BMMAwGAj4-7-O9urFh1yBgd0oVd6LJGYgg/LApfLWidjVZA6A5PJC-YW66LAtuznM209EDW3crXS9I),418
Match Uppercase Letters to Lowercase Letters,Language,K,The Letters and Their Sounds,Match Uppercase Letters to Lowercase Letters,https://drive.google.com/file/d/1W63jn3BeT-s_LFnQanQ_97Pi1hDDSF86/view?usp=share_link,Match Uppercase Letters to Lowercase Letters.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/HIiam-KHLJX_T2tsCDE1CA/Wl29vH-h_y0EtSTmPLNaNjKAEz40ZqsyKqRKAUCMbAurxtlbgBV11dBRNL4-17xM_V-GZuTpVU7YqJELcZ6rXnctEepHmWy1Iow3kheShEoXtqst8vPY682-Pb4Kp2LZCQA5mpNnLT8NIcSuqObguA/vrEtspSd5joffzVv0MRWCTMF-MG9qIKHIDA4p_XXXEo),419
Match Uppercase Letters to Lowercase Letters,Language,1,The Alphabet,Match Uppercase Letters to Lowercase Letters,https://drive.google.com/file/d/1W63jn3BeT-s_LFnQanQ_97Pi1hDDSF86/view?usp=sharing,Match Uppercase Letters to Lowercase Letters.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/gvObb5-maRReDMwU1y24FA/YR1_qdZFkw5KaUbenT3fH6axtZlQVBSx2exKztRrgliRVJ7DmACEynuMkqoGysSa2ulE4pZmGvoBtrlQi8phMAAA704mF_nuqIbjHnZjlsp9QQiToktZBEGVL_mPMMbGFMGkoqMRdxsuTxSa_msVCw/qBH0roGknYnvfHYZD-TMwKTG3HXsGqkKatBv9-RVGu8),420
Learn the days of the week Part 1,MATH,1,Life Skills,Learn the days of the week Part 1,https://drive.google.com/file/d/1w8MTWD2Pm5OrkcQ2Oz1TgsYBQlAyIjD0/view?usp=share_link,Learn the days of the week Part 1.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/2HThDPJSoR61jfulHNQ5Yg/hBgw4Bgmh438_2Hsqsvfl_zzTLrTc_nGiRhPL7VgKGGwiMjK3MGOzV9fwXppeXOrIqLsNkk4sjdcd95aRHQfXVFc75BKiSCzHC1p4AxzBuO08a-Xxh3DWZCNa9RXCbQt/AgCPPRkTUjDuDX7qf0NovXbPW5cRGraDOoxomlFxBVc),421
Identify Reflections in a Coordinate Plane,MATH,4,Geometry,Identify Reflections in a Coordinate Plane,https://drive.google.com/file/d/1Wj2dIfVPGp08nvc46JzAQAL6IV5T-NQb/view?usp=share_link,Identify Reflections in a Coordinate Plane.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/nJLplcFuxA6yhoA3ytP0OA/iFF9Q9CxXAm1fqb9HXG2vZy_GrAO41tEaOHqoNqu-XAThS1giHztesvgU8PrfrZdbwucz-1oDjbRYL3ChVF1VZQ3uZSpB59seg3wOGPA3vRUXMjP1jCg6iO6wfmLtZ2hQf-aln6xQGZAUN8A4dTisw/2vDp0TY9-wZP-lsBKRupSVSa-Mefzhwvw9s5DQ6MnVs),422
Read numbers (16 to 20),MATH,1,Numbers,Read numbers (16 to 20),https://drive.google.com/file/d/1WqAj8v0P7Y_a697v920OOSOvFB2WZzBO/view?usp=share_link,Read numbers (16 to 20).pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/0baGbN4tVlaNP1Gb5hYW-w/2NftPB3nZpkLloVEHnz7YOuzbWicN8N6GLCQQe53KQn99gkAfsjwF6cbcHAFPwjveW5R3ujfkLYHxlZPt8W1-VoDooUaHu0C5ZlzjdgVo9c/0rcrWkG1JqYADHYOm26nmISNn6y26bBfiSlpj58-KWs),423
Let's Add 2,MATH,0,Addition and Subtraction,Add 2,https://drive.google.com/file/d/1WwBfavMy4P8B-XIHlWdcivt-7uyrmZZY/view?usp=share_link,Let's Add 2.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/AEHWm8HjIxRUDR80kz9DnQ/IDq5OsPh2cv2msb-R2dN_LZ5Uqk-PiGUWvBJYC8wEjBAirOV1POpOE_DKL7cRIlWtshM2YW-njuV6GwXg07Ji1sBVbBFIz0ZnoUFs9-FJ5w/IMLXhrLdgtxBF-T3RBBV5Dte52Sfu0of9muefp4IyDw),424
Sort Items into Categories,Language,K,Vocabulary Strategies and Use,Sort Items into Categories,https://drive.google.com/file/d/1WWEpxZdejBZo4fTjxjgIceC0piN5TWm2/view?usp=sharing,Sort Items into Categories.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/BZuiuKuMvOkepXc7-Xlryg/SXGl09BuX3Qgk1qfAXYkg6jeLdNTdL-ovWzqAfzqo0lafOG429m8Sgg42_v17HXdzrl4K86Vn840xFGRSeeyanpN4nZ38dONWPSqGzxUIESugLzmYoDMkDRXNwP76ZLh/v9WSQ3GZ03VSbxg7RgVMima11F_W4pt9OzkDVaZrvjY),425
Let's Divide by 2,MATH,4,Division Facts,Divide by 2,https://drive.google.com/file/d/1Wzq5AsuqJ1W037z_-Z9zHzD9Vv7D5FuM/view?usp=share_link,Let's Divide by 2.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/c7i_qwAVSqTQTL5gwNd6JA/fLFU4FOz_u0pWInC_GnSME0HM7WNjbUA-wJE7jHDKkSjTyywtYecUW4K5WlYIiRlxwO8pwwwrmIE4w12IkA0GV7E-scCgrmS1A6pJNK6em8/AqNIqC_sUlUuyvXenEDXyXRosoDEhAWQK73WYxXcmYE),426
Review the commutative property,MATH,5,Operations,Review the commutative property,https://drive.google.com/file/d/1X_mvPVc5LvdMcw0qI8EBlt_LJMB0Lfv5/view?usp=share_link,Review the commutative property.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/-lTwvDx3RBl6hWg-VgGW1A/tpBfjj2-vc0SQfUkr1B9nmGT-1zJOfD3xNfnu6v3kL9Fvz6CRUu0nzLTrGyTZzpzYfB48Em2cztHbzB92DZglsPWmddRr3ZeMDxaMuPRzTL99sy_LUt4xNtLL7VzmzC2/nv2hjZ7SsLw9xIp0YN6n_nKyVfCiOd18p5RQjppdGDk),427
"Form Plural Nouns for Words Ending in s, ss, and x",Language,K,Parts of Speech,"Form Plural Nouns for Words Ending in s, ss, and x",https://drive.google.com/file/d/1x0dIEHQgjJFbQOp7LXrnnZECPbuXHBJr/view?usp=sharing,"""Form Plural Nouns for Words Ending in s, ss, and x.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/5mOyZAwvOouHjws2jK4Nrw/IHpFwSrrN51h3XYfrSfa-yYxV_FJWaFlj8agO9VbCgLM1yeS_e71p7yiLhq5-WoI8Jnykx9dC0dlqyPz2JbLjZaZOwRg94CTZYsKX8PXkWinMVnFEMYB95zWPpruMPXto6k3OXwqMCUqNE6MtLYwTw/EyUH5ksL78HKoeIqXMpxh9kpXF2mmZnkJwSC3VKVG4U)""",428
Interpret Metaphors,Language,4,Figurative and Descriptive Language,Interpret Metaphors,https://drive.google.com/file/d/1xAYns3lXHa_ol-OIKFki6ZPddIkylTWe/view?usp=sharing,Interpret Metaphors.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/5FUJO_rk6gD6kZvxVfHmdw/PAJS2NbrP1cwkLL_wy_tH7RYtIwqeEPkJlNgBwAW_yyA4ixlBuPkZW9QQlEPWSyUwvHFExzLW04tHrQMN1BHikOqyzhSm-vJLYmemNChbXs/Ld5p-TcSpkGQgyRT5EiHAdzdFaVIe3lEhtQKp2QIuEI),429
Use Domain-Specific Vocabulary,Language,6,Vocabulary Strategies and Use,Use Domain-Specific Vocabulary,https://drive.google.com/file/d/1XCqywBnwxfUd_Yzylt_uO4Ss6UM7jWYU/view?usp=share_link,Use Domain-Specific Vocabulary.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/XuMdGIhgQhMKbMkZJTSiBg/wQHOgoJ-wMRvlrsC2xUaQCrRbohxdAD0ImvgT6l9tS9nqdU55lunq8awv4Hn4JFisPZKaFdORzCNQSBSkKNW_OtoWZKfjiKh7Y7tDdGehMJAk_4kWkz-pptEAP0IWN8X/mJ1NEYSKtjw4lut20lt3-chTC7Dp7_wKGFvTG9Lg7w0),430
Let's Identify Prepositional Phrases,Language,5,Parts of Speech,Identify Prepositional Phrases,https://drive.google.com/file/d/1xF77n9g59SK34tWHnltH0L3VfkoyEvos/view?usp=share_link,Let's Identify Prepositional Phrases.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/ND2e0xKdoXcfrWHrqQj3JA/XUO2olwguU1sguFaNKpswJLwXSYZ03qiKTPbPQviF-0oH8oAIL4nBD1f6Ejg9ur67fZkJ5jb5rypHE0SSntr1oXQyf58XuvVIhG-8R4O9AXWtx_GJOP1oVrPgf9ZWeEP/XuLugwJSg8Shl0Jc173OQngyYqEo-sS8swlStT53vEc),431
Read half hours and hours on an analog clock,MATH,1,Life Skills,Read half hours and hours on an analog clock,https://drive.google.com/file/d/1xF7b2P2pnSClC5j3xenjRe6Ehl6cLgxv/view?usp=share_link,Read half hours and hours on an analog clock.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/rdo_Y_7FYYTAv2dJYdU7Tg/Y1iaVSr3ZKO_JZNBWA3gYuCihnPCxZ6gbvAL2CZ-VyCapilhwJfwqBMENXWqFLRdXSIO1hktQSRPcGlXXRA8d-UjluerKsjNo3HuOrDCPhBEw1X2yoaBULhSXiRZDWh6/V4E350iw91CXPcxRRK4wt_ME79LRFtvhoASht5LMIjk),432
Choose the Correct Homonym,Language,K,Vocabulary Strategies and Use,Choose the Correct Homonym,https://drive.google.com/file/d/1XHbEu_fqvVdkg0ItOGgDa8A28AbZkas8/view?usp=sharing,Choose the Correct Homonym.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/wHPtpeX1pe2JsMMF1nt9yQ/ba31K4iJLhnYdUsOxOHkHq0kcs99DCmkjAqs1tCOQNLyNxVm3XiRmDYQ8KSuAZumam6ButqcM1Tt3EUbjLU_488Z7lrKll2EoCQNN6U_xFHGEvB33la9kkbfADWvdzlY/dW12NcchH_jeH4aPePrlETK_aRbuM4HK5YfRFmFc7Rs),433
Let's Distinguish between A.M. or P.M.,MATH,2,Life Skills,Distinguish between A.M. or P.M.,https://drive.google.com/file/d/1XHlm4CRhzgdayN_WbeSGT6YDnGSZsq_N/view?usp=share_link,Let's Distinguish between A.M. or P.M..pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/rlaDgWEylaMd48hQT7f4ew/QJe7kEl8Md8mSaH_LbW4r47s8HuwtHCnDpopSK1RPDxebgU2KPWSp8CbGgEKEq_ELy75Zp-_Iozi19Gzbf8MJVX7NaaTqRbY-TKZXK975Xr6ESDppnEJIqJUiE4xLHFg/sMzrkJ3KpyaRZ6L_hPG-BsOpuDaUmvIju5OdPZsVvOY),434
Let's Add doubles (1 to 5),MATH,0,Addition and Subtraction,Add doubles (1 to 5),https://drive.google.com/file/d/1xlDCoariaAC2sdBWO69uTm71tRNnuM0R/view?usp=share_link,Let's Add doubles (1 to 5).pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/Qr3Eef7DSvpv4wOw1Kk84g/lIUeAdloX2lrjCU_eKFt-7KHzL-pCqUJNJs2YH8beru25FCnTpGUAsuOjR2gWbQuR8wtWK80zKMQdbyk_f0X-Qh0u__v1SndGNUerWK-3SA/WD4Dks1RNCT5FNvQcWksKl9_3eL4MFL95_-BvYFGc9M),435
